break_id,reconciliation_id,business_date,break_type,mismatch_type,root_cause,source_system,comparison_system,source_record_id,comparison_record_id,source_value,target_value,difference,breaking_fields,severity,status,age,counterparty,client,corporate_action_type,needs_evidence_bundle,split
BRK00011,RECON-DAILY,2026-08-11,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100020,TRD100020,200,150,,quantity,P1,OPEN,0,NOMURA-BROKER,EQ-CORE-02,,True,TRAIN
BRK00012,RECON-DAILY,2026-08-17,TRADE,TRADE_DATE_MISMATCH,Confirmed trade date differs from booked trade date,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100023,TRD100023,2026-08-16,2026-08-17,,trade_date,P2,OPEN,0,ICICI-CUST,EQ-CORE-02,,True,TRAIN
BRK00013,RECON-DAILY,2026-08-07,SETTLEMENT,SETL_WRONG_SSI,Settlement instruction references the wrong SSI/beneficiary account - the payment-failure flagship scenario,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100024,TRD100024,SSI-IN-0203,SSI-US-7742,,ssi_code,P0,OPEN,0,KOTAK-CUST,EQ-INDEX-04,,True,TEST
BRK00014,RECON-DAILY,2026-08-02,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100027,TRD100027,500,700,,quantity,P1,OPEN,0,ICICI-CUST,EQ-CORE-01,,True,TRAIN
BRK00015,RECON-DAILY,2026-08-06,SETTLEMENT,SETL_INCORRECT_DATE,Settlement recorded against the wrong date (holiday-calendar-style off-by-one),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100029,TRD100029,2026-08-06,2026-08-07,,settlement_date,P2,OPEN,0,NOMURA-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00016,RECON-DAILY,2026-08-08,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100030,TRD100030,3000,3400,,actual_quantity,P1,OPEN,0,ICICI-CUST,EQ-CORE-01,MANDATORY,True,TRAIN
BRK00017,RECON-DAILY,2026-08-03,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100031,TRD100031,1500,1700,,quantity,P1,OPEN,0,NOMURA-BROKER,EQ-CORE-01,,True,TRAIN
BRK00018,RECON-DAILY,2026-08-19,SETTLEMENT,SETL_WRONG_SSI,Settlement instruction references the wrong SSI/beneficiary account - the payment-failure flagship scenario,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100034,TRD100034,SSI-IN-0091,SSI-DE-5510,,ssi_code,P0,OPEN,0,ICICI-CUST,EQ-CORE-01,,True,TRAIN
BRK00019,RECON-DAILY,2026-08-02,TRADE,CONF_DISAGREEMENT,External confirmation received but disagrees with the booking on multiple fields,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100036,TRD100036,"qty=100,price=171.87","qty=175,price=174.04",,"quantity,price",P1,OPEN,0,DEUTSCHE-BROKER,EQ-ALPHA-03,,True,TEST
BRK00020,RECON-DAILY,2026-08-19,TRADE,TRADE_DATE_MISMATCH,Confirmed trade date differs from booked trade date,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100037,TRD100037,2026-08-18,2026-08-19,,trade_date,P2,OPEN,0,NOMURA-BROKER,EQ-INDEX-04,,True,TEST
BRK00021,RECON-DAILY,2026-08-18,CASH,CASH_WRONG_AMOUNT,Cash amount posted differs from expected trade value by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100039,TRD100039,285290.0,316671.9,,amount,P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-CORE-02,,False,TRAIN
BRK00022,RECON-DAILY,2026-08-20,SETTLEMENT,SETL_WRONG_SSI,Settlement instruction references the wrong SSI/beneficiary account - the payment-failure flagship scenario,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100041,TRD100041,SSI-IN-0147,SSI-DE-5510,,ssi_code,P0,OPEN,0,HDFC-CUST,EQ-CORE-01,,True,TRAIN
BRK00023,RECON-DAILY,2026-08-19,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100046,TRD100046,NOMURA-BROKER,MORGANSTANLEY-BROKER,,counterparty,P1,OPEN,0,NOMURA-BROKER,EQ-ALPHA-03,,True,TEST
BRK00024,RECON-DAILY,2026-08-05,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100047,TRD100047,1125,975,,actual_quantity,P1,OPEN,0,HDFC-CUST,EQ-ALPHA-03,MANDATORY,True,TRAIN
BRK00025,RECON-DAILY,2026-08-06,CASH,CASH_DUPLICATE_ENTRY,Same cash movement posted twice,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100048,TRD100048,34574.0,69148.0,,"amount,cash_id",P1,OPEN,0,KOTAK-CUST,EQ-ALPHA-03,,False,TRAIN
BRK00026,RECON-DAILY,2026-08-15,SETTLEMENT,SETL_MISSING_INSTRUCTION,No settlement instruction was ever issued,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100050,TRD100050,INSTRUCTED,MISSING,,instruction_status,P0,OPEN,0,KOTAK-CUST,EQ-CORE-01,,True,TRAIN
BRK00027,RECON-DAILY,2026-08-09,SETTLEMENT,SETL_WRONG_SSI,Settlement instruction references the wrong SSI/beneficiary account - the payment-failure flagship scenario,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100054,TRD100054,SSI-JP-3389,SSI-IN-0147,,ssi_code,P0,OPEN,0,NOMURA-BROKER,EQ-CORE-01,,True,TRAIN
BRK00028,RECON-DAILY,2026-08-06,TRADE,CONF_DISAGREEMENT,External confirmation received but disagrees with the booking on multiple fields,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100055,TRD100055,"qty=1500,price=2758.61","qty=1425,price=2789.43",,"quantity,price",P1,OPEN,0,HDFC-CUST,EQ-CORE-02,,True,TRAIN
BRK00029,RECON-DAILY,2026-08-12,CASH,CASH_WRONG_AMOUNT,Cash amount posted differs from expected trade value by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100056,TRD100056,257445.0,285763.95,,amount,P1,OPEN,0,DEUTSCHE-BROKER,EQ-CORE-02,,False,TEST
BRK00030,RECON-DAILY,2026-08-09,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100058,TRD100058,6000,2000,,actual_quantity,P1,OPEN,0,HDFC-CUST,EQ-CORE-01,VOLUNTARY,True,TRAIN
BRK00031,RECON-DAILY,2026-08-05,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100060,TRD100060,1000,1050,,quantity,P1,OPEN,0,KOTAK-CUST,EQ-CORE-02,,True,TRAIN
BRK00032,RECON-DAILY,2026-08-12,CASH,CASH_DUPLICATE_ENTRY,Same cash movement posted twice,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100064,TRD100064,339598.0,679196.0,,"amount,cash_id",P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-ALPHA-03,,True,TRAIN
BRK00033,RECON-DAILY,2026-08-08,CASH,CASH_WRONG_AMOUNT,Cash amount posted differs from expected trade value by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100067,TRD100067,168708.0,200762.52,,amount,P1,OPEN,0,DEUTSCHE-BROKER,EQ-ALPHA-03,,True,TRAIN
BRK00034,RECON-DAILY,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100068,TRD100068,4000,2000,,actual_quantity,P1,OPEN,0,DEUTSCHE-BROKER,EQ-CORE-02,VOLUNTARY,True,TRAIN
BRK00035,RECON-DAILY,2026-08-09,POSITION,POS_MISSING_BOOKING,Missing upstream booking - position never reflected externally,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100069,TRD100069,1000,0,,actual_quantity,P0,OPEN,0,NOMURA-BROKER,EQ-ALPHA-03,,False,TRAIN
BRK00036,RECON-DAILY,2026-08-20,TRADE,TRADE_PRICE_MISMATCH,Confirmed price differs from booked price,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100071,TRD100071,470.71,460.15,,price,P2,OPEN,0,HDFC-CUST,EQ-INDEX-04,,True,TRAIN
BRK00037,RECON-DAILY,2026-08-02,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100072,TRD100072,500,550,,quantity,P1,OPEN,0,ICICI-CUST,EQ-INDEX-04,,True,TRAIN
BRK00038,RECON-DAILY,2026-08-09,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100073,TRD100073,ICICI-CUST,HDFC-CUST,,counterparty,P1,OPEN,0,ICICI-CUST,EQ-INDEX-04,,True,TRAIN
BRK00039,RECON-DAILY,2026-08-19,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100074,TRD100074,MORGANSTANLEY-BROKER,HDFC-CUST,,counterparty,P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-ALPHA-03,,True,TRAIN
BRK00040,RECON-DAILY,2026-08-19,SETTLEMENT,SETL_INCORRECT_DATE,Settlement recorded against the wrong date (holiday-calendar-style off-by-one),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100075,TRD100075,2026-08-19,2026-08-20,,settlement_date,P2,OPEN,0,DEUTSCHE-BROKER,EQ-CORE-02,,True,TEST
BRK00041,RECON-DAILY,2026-08-11,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100077,TRD100077,2000,2200,,quantity,P1,OPEN,0,HDFC-CUST,EQ-ALPHA-03,,True,TRAIN
BRK00042,RECON-DAILY,2026-08-20,CASH,CASH_MISSING_ENTRY,Expected cash movement never posted,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100080,TRD100080,2510025.0,,,amount,P0,OPEN,0,NOMURA-BROKER,EQ-CORE-01,,False,TRAIN
BRK00043,RECON-DAILY,2026-08-16,POSITION,POS_WRONG_QUANTITY,Wrong quantity - external position differs by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100083,TRD100083,1500,1860,,actual_quantity,P1,OPEN,0,HDFC-CUST,EQ-CORE-01,,False,TRAIN
BRK00044,RECON-DAILY,2026-08-15,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100086,TRD100086,3000,1500,,actual_quantity,P1,OPEN,0,KOTAK-CUST,EQ-CORE-01,VOLUNTARY,True,TRAIN
BRK00045,RECON-DAILY,2026-08-13,POSITION,POS_MISSING_BOOKING,Missing upstream booking - position never reflected externally,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100087,TRD100087,100,0,,actual_quantity,P0,OPEN,0,HDFC-CUST,EQ-CORE-01,,True,TRAIN
BRK00046,RECON-DAILY,2026-08-08,CASH,CASH_MISSING_ENTRY,Expected cash movement never posted,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100088,TRD100088,275794.0,,,amount,P0,OPEN,0,ICICI-CUST,EQ-CORE-02,,False,TRAIN
BRK00047,RECON-DAILY,2026-08-11,TRADE,TRADE_DATE_MISMATCH,Confirmed trade date differs from booked trade date,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100091,TRD100091,2026-08-10,2026-08-11,,trade_date,P2,OPEN,0,MORGANSTANLEY-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00048,RECON-DAILY,2026-08-09,TRADE,TRADE_QUANTITY_MISMATCH,Confirmed quantity differs from booked quantity,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100097,TRD100097,750,800,,quantity,P1,OPEN,0,ICICI-CUST,EQ-ALPHA-03,,True,TRAIN
BRK00049,RECON-DAILY,2026-08-14,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100098,TRD100098,KOTAK-CUST,HDFC-CUST,,counterparty,P1,OPEN,0,KOTAK-CUST,EQ-CORE-01,,True,TRAIN
BRK00050,RECON-DAILY,2026-08-18,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100100,TRD100100,1125,1275,,actual_quantity,P1,OPEN,0,HDFC-CUST,EQ-CORE-01,MANDATORY,True,TRAIN
BRK00051,RECON-DAILY,2026-08-08,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100106,TRD100106,1500,750,,actual_quantity,P1,OPEN,0,KOTAK-CUST,EQ-CORE-02,MANDATORY,True,TEST
BRK00052,RECON-DAILY,2026-08-19,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100107,TRD100107,1500,750,,actual_quantity,P1,OPEN,0,HDFC-CUST,EQ-ALPHA-03,MANDATORY,True,TRAIN
BRK00053,RECON-DAILY,2026-08-06,TRADE,CONF_MISSING,External confirmation never received,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100108,TRD100108,TRD100108,,,confirmation,P0,OPEN,0,NOMURA-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00054,RECON-DAILY,2026-08-17,SETTLEMENT,SETL_MISSING_INSTRUCTION,No settlement instruction was ever issued,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100109,TRD100109,INSTRUCTED,MISSING,,instruction_status,P0,OPEN,0,DEUTSCHE-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00055,RECON-DAILY,2026-08-15,TRADE,CONF_DISAGREEMENT,External confirmation received but disagrees with the booking on multiple fields,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100112,TRD100112,"qty=500,price=4105.03","qty=425,price=4166.78",,"quantity,price",P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-CORE-02,,True,TRAIN
BRK00056,RECON-DAILY,2026-08-20,TRADE,CONF_MISSING,External confirmation never received,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100113,TRD100113,TRD100113,,,confirmation,P0,OPEN,0,DEUTSCHE-BROKER,EQ-ALPHA-03,,True,TRAIN
BRK00057,RECON-DAILY,2026-08-08,CASH,CASH_DUPLICATE_ENTRY,Same cash movement posted twice,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100114,TRD100114,237106.0,474212.0,,"amount,cash_id",P1,OPEN,0,NOMURA-BROKER,EQ-CORE-02,,True,TEST
BRK00058,RECON-DAILY,2026-08-07,SETTLEMENT,SETL_WRONG_SSI,Settlement instruction references the wrong SSI/beneficiary account - the payment-failure flagship scenario,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100115,TRD100115,SSI-US-7742,SSI-IN-0147,,ssi_code,P0,OPEN,0,MORGANSTANLEY-BROKER,EQ-CORE-01,,True,TRAIN
BRK00059,RECON-DAILY,2026-08-21,SETTLEMENT,SETL_WRONG_SSI,Settlement instruction references the wrong SSI/beneficiary account - the payment-failure flagship scenario,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100116,TRD100116,SSI-DE-5510,SSI-JP-3389,,ssi_code,P0,OPEN,0,DEUTSCHE-BROKER,EQ-ALPHA-03,,True,TRAIN
BRK00060,RECON-DAILY,2026-08-19,SETTLEMENT,SETL_LATE_COUNTERPARTY,Counterparty has not settled by the expected date,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100118,TRD100118,2026-08-19,2026-08-24,,"settlement_date,settlement_status",P1,OPEN,0,HDFC-CUST,EQ-CORE-02,,True,TRAIN
BRK00061,RECON-DAILY,2026-08-12,SETTLEMENT,SETL_LATE_COUNTERPARTY,Counterparty has not settled by the expected date,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100121,TRD100121,2026-08-12,2026-08-15,,"settlement_date,settlement_status",P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-ALPHA-03,,True,TRAIN
BRK00062,RECON-DAILY,2026-08-17,SETTLEMENT,SETL_MISSING_INSTRUCTION,No settlement instruction was ever issued,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100124,TRD100124,INSTRUCTED,MISSING,,instruction_status,P0,OPEN,0,ICICI-CUST,EQ-INDEX-04,,True,TRAIN
BRK00063,RECON-DAILY,2026-08-05,CASH,CASH_WRONG_AMOUNT,Cash amount posted differs from expected trade value by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100125,TRD100125,1687380.0,1383651.6,,amount,P1,OPEN,0,HDFC-CUST,EQ-ALPHA-03,,False,TRAIN
BRK00064,RECON-DAILY,2026-08-14,SETTLEMENT,SETL_LATE_COUNTERPARTY,Counterparty has not settled by the expected date,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100126,TRD100126,2026-08-14,2026-08-19,,"settlement_date,settlement_status",P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-CORE-01,,True,TEST
BRK00065,RECON-DAILY,2026-08-13,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100128,TRD100128,MORGANSTANLEY-BROKER,KOTAK-CUST,,counterparty,P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00066,RECON-DAILY,2026-08-19,SETTLEMENT,SETL_LATE_COUNTERPARTY,Counterparty has not settled by the expected date,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100129,TRD100129,2026-08-19,2026-08-22,,"settlement_date,settlement_status",P1,OPEN,0,HDFC-CUST,EQ-ALPHA-03,,True,TRAIN
BRK00067,RECON-DAILY,2026-08-22,TRADE,TRADE_DATE_MISMATCH,Confirmed trade date differs from booked trade date,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100130,TRD100130,2026-08-21,2026-08-22,,trade_date,P2,OPEN,0,MORGANSTANLEY-BROKER,EQ-CORE-02,,True,TRAIN
BRK00068,RECON-DAILY,2026-08-04,TRADE,CONF_DISAGREEMENT,External confirmation received but disagrees with the booking on multiple fields,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100131,TRD100131,"qty=100,price=1241.45","qty=175,price=1255.72",,"quantity,price",P1,OPEN,0,HDFC-CUST,EQ-CORE-01,,True,TEST
BRK00069,RECON-DAILY,2026-08-09,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100133,TRD100133,6000,6400,,actual_quantity,P1,OPEN,0,DEUTSCHE-BROKER,EQ-CORE-02,MANDATORY,True,TEST
BRK00070,RECON-DAILY,2026-08-10,CASH,CASH_FX_INPUT_DIFFERENCE,Cash posted in a different currency / at a stale or incorrect FX rate,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100134,TRD100134,420325.0,435036.37,,"amount,currency",P2,OPEN,0,DEUTSCHE-BROKER,EQ-ALPHA-03,,False,TRAIN
BRK00071,RECON-DAILY,2026-08-11,SETTLEMENT,SETL_MISSING_INSTRUCTION,No settlement instruction was ever issued,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100135,TRD100135,INSTRUCTED,MISSING,,instruction_status,P0,OPEN,0,MORGANSTANLEY-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00072,RECON-DAILY,2026-08-19,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100136,TRD100136,3000,2000,,actual_quantity,P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-INDEX-04,VOLUNTARY,True,TEST
BRK00073,RECON-DAILY,2026-08-17,TRADE,CONF_DISAGREEMENT,External confirmation received but disagrees with the booking on multiple fields,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100138,TRD100138,"qty=1500,price=12920.77","qty=1575,price=13140.25",,"quantity,price",P1,OPEN,0,NOMURA-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00074,RECON-DAILY,2026-08-10,TRADE,TRADE_COUNTERPARTY_ID_MISMATCH,Confirmed counterparty identifier differs from booked counterparty,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100141,TRD100141,KOTAK-CUST,ICICI-CUST,,counterparty,P1,OPEN,0,KOTAK-CUST,EQ-INDEX-04,,True,TRAIN
BRK00075,RECON-DAILY,2026-08-19,CASH,CASH_WRONG_AMOUNT,Cash amount posted differs from expected trade value by a non-round amount,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100142,TRD100142,13025730.0,11853414.3,,amount,P1,OPEN,0,DEUTSCHE-BROKER,EQ-ALPHA-03,,False,TRAIN
BRK00076,RECON-DAILY,2026-08-05,SETTLEMENT,SETL_INCORRECT_DATE,Settlement recorded against the wrong date (holiday-calendar-style off-by-one),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100144,TRD100144,2026-08-05,2026-08-06,,settlement_date,P2,OPEN,0,NOMURA-BROKER,EQ-CORE-01,,True,TRAIN
BRK00077,RECON-DAILY,2026-08-03,TRADE,CONF_MISSING,External confirmation never received,INTERNAL_BOOK,EXTERNAL_CONFIRMATION,TRD100145,TRD100145,TRD100145,,,confirmation,P0,OPEN,0,KOTAK-CUST,EQ-CORE-01,,True,TEST
BRK00078,RECON-DAILY,2026-08-09,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100146,TRD100146,3000,1000,,actual_quantity,P1,OPEN,0,MORGANSTANLEY-BROKER,EQ-INDEX-04,VOLUNTARY,True,TRAIN
BRK00079,RECON-DAILY,2026-08-22,SETTLEMENT,SETL_INCORRECT_DATE,Settlement recorded against the wrong date (holiday-calendar-style off-by-one),INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100148,TRD100148,2026-08-22,2026-08-23,,settlement_date,P2,OPEN,0,KOTAK-CUST,EQ-INDEX-04,,True,TEST
BRK00080,RECON-DAILY,2026-08-11,SETTLEMENT,SETL_MISSING_INSTRUCTION,No settlement instruction was ever issued,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100150,TRD100150,INSTRUCTED,MISSING,,instruction_status,P0,OPEN,0,NOMURA-BROKER,EQ-INDEX-04,,True,TRAIN
BRK00081,RECON-DAILY,2026-08-11,POSITION,POS_MISSING_BOOKING,Missing upstream booking - position never reflected externally,INTERNAL_BOOK,CUSTODIAN_CONFIRM,TRD100152,TRD100152,1000,0,,actual_quantity,P0,OPEN,0,ICICI-CUST,EQ-INDEX-04,,True,TEST
